"page_num","page","links","abc","brand","name","price","rating","number_of_rating","size1","size2","size3","oldname","size","othersize1","othersize2","othersize3","biggestsize","dollarvalue","perml","per30ml"
3,"https://www.mecca.com/en-au/skincare/facial-serums/?page=3","https://www.mecca.com/en-au/dermalogica/circular-hydration-serum-I-054101/?cgpath=skincare-serums",9,"Dermalogica","circular hydration serum","$106.00","4.6","(88 reviews)",NA,NA,NA,"Circular Hydration Serum",0,0,0,0,0,106,NA,NA
3,"https://www.mecca.com/en-au/skincare/facial-serums/?page=3","https://www.mecca.com/en-au/ren-clean-skincare/glow-and-protect-serum-I-054497/?cgpath=skincare-serums",9,"REN Clean Skincare","glow and protect serum","$105.00","4.8","(8 reviews)",NA,NA,NA,"Glow And Protect Serum",0,0,0,0,0,105,NA,NA
3,"https://www.mecca.com/en-au/skincare/facial-serums/?page=3","https://www.mecca.com/en-au/goop/goopgenes-all-in-one-super-nutrient-face-oil-I-048362/?cgpath=skincare-serums",9,"GOOP","goopgenes all-in-one super nutrient face oil","$163.00","4.6","(19 reviews)",NA,NA,NA,"GOOPGENES All-in-One Super Nutrient Face Oil",0,0,0,0,0,163,NA,NA
3,"https://www.mecca.com/en-au/skincare/facial-serums/?page=3","https://www.mecca.com/en-au/kylie-skin/vitamin-c-serum-I-047477/?cgpath=skincare-serums",9,"Kylie Skin","vitamin c serum","$52.00","4.0","(104 reviews)",NA,NA,NA,"Vitamin C Serum",0,0,0,0,0,52,NA,NA
3,"https://www.mecca.com/en-au/skincare/facial-serums/?page=3","https://www.mecca.com/en-au/elizabeth-arden/retinol-ceramide-capsules-line-erasing-night-serum-V-054986/?cgpath=skincare-serums",9,"Elizabeth Arden","retinol ceramide capsules line erasing night serum","$85.00 - $199.00","4.6","(681 reviews)","60 pieces ","1 ","2 ","Retinol Ceramide Capsules Line Erasing Night Serum",0,0,0,0,0,199,NA,NA
3,"https://www.mecca.com/en-au/skincare/facial-serums/?page=3","https://www.mecca.com/en-au/perricone-md/high-potency-growth-factor-firming-lifting-serum-I-041716/?cgpath=skincare-serums",9,"Perricone MD","high potency growth factor firming & lifting serum","$224.00","4.4","(358 reviews)",NA,NA,NA,"High Potency Growth Factor Firming & Lifting Serum",0,0,0,0,0,224,NA,NA
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/verso/daily-glow-I-052225/?cgpath=skincare-serums",9,"VERSO","daily glow","$91.00","3.9","(21 reviews)",NA,NA,NA,"Daily Glow",0,0,0,0,0,91,NA,NA
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/elizabeth-arden/advanced-ceramide-capsules-daily-youth-restoring-serum-V-054988/?cgpath=skincare-serums",9,"Elizabeth Arden","advanced ceramide capsules daily youth restoring serum","$85.00 - $195.00","4.6","(988 reviews)","60 pieces ","90 pieces ",NA,"Advanced Ceramide Capsules Daily Youth Restoring Serum",0,0,0,0,0,195,NA,NA
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/goop/goopglow-20-vitamin-c-and-hyaluronic-acid-glow-serum-I-047487/?cgpath=skincare-serums",9,"GOOP","goopglow 20% vitamin c and hyaluronic acid glow serum","$208.00","3.8","(15 reviews)",NA,NA,NA,"GOOPGLOW 20% Vitamin C and Hyaluronic Acid Glow Serum",0,0,0,0,0,208,NA,NA
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/morphe/morphe-2-clear-things-up-clarifying-serum-I-049896/?cgpath=skincare-serums",9,"Morphe","morphe 2 clear things up clarifying serum","$26.00","4.2","(5 reviews)",NA,NA,NA,"Morphe 2 Clear Things Up Clarifying Serum",0,0,0,0,0,26,NA,NA
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/elizabeth-arden/vitamin-c-ceramide-capsules-radiance-renewal-serum-V-054987/?cgpath=skincare-serums",9,"Elizabeth Arden","vitamin c ceramide capsules radiance renewal serum","$85.00 - $199.00","4.3","(553 reviews)","90 pieces ","60 pieces ",NA,"Vitamin C Ceramide Capsules Radiance Renewal Serum",0,0,0,0,0,199,NA,NA
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/dr-barbara-sturm/the-better-b-niacinamide-serum-I-055054/?cgpath=skincare-serums",9,"Dr. Barbara Sturm","the better b niacinamide serum","$253.00","4.5","(29 reviews)",NA,NA,NA,"The Better B Niacinamide Serum",0,0,0,0,0,253,NA,NA
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/nuface/nuface-firming-smoothing-super-peptide-booster-serum-I-054942/?cgpath=skincare-serums",9,"NuFACE","nuface firming + smoothing super peptide booster serum","$108.00","0","(Write a review)",NA,NA,NA,"NuFACE Firming + Smoothing Super Peptide Booster Serum",0,0,0,0,0,108,NA,NA
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/bobbi-brown/vitamin-enriched-smoothing-serum-I-065169/?cgpath=skincare-serums",9,"Bobbi Brown","vitamin enriched smoothing serum","$115.00","5.0","(1 reviews)",NA,NA,NA,"Vitamin Enriched Smoothing Serum",0,0,0,0,0,115,NA,NA
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/omorovicza/even-tone-I-058818/?cgpath=skincare-serums",9,"Omorovicza","even tone","$231.00","5.0","(4 reviews)",NA,NA,NA,"Even Tone",0,0,0,0,0,231,NA,NA
4,"https://www.mecca.com/en-au/skincare/facial-serums/?page=4","https://www.mecca.com/en-au/skinstitut/retinol-serum-I-059297/?cgpath=skincare-serums",9,"Skinstitut","retinol serum","$64.00","4.7","(6 reviews)",NA,NA,NA,"Retinol Serum",0,0,0,0,0,64,NA,NA
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/elizabeth-arden/hyaluronic-acid-ceramide-capsules-hydra-plumping-serum-V-049243/?cgpath=skincare-serums",9,"Elizabeth Arden","hyaluronic acid ceramide capsules hydra-plumping serum","$85.00 - $199.00","4.6","(271 reviews)","90 pieces ","60 pieces ","30 pieces ","Hyaluronic Acid Ceramide Capsules Hydra-Plumping Serum",0,0,0,0,0,199,NA,NA
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/skinstitut/rejuvenate-15-serum-I-059295/?cgpath=skincare-serums",9,"Skinstitut","rejuvenate 15 serum","$64.00","5.0","(2 reviews)",NA,NA,NA,"Rejuvenate 15 Serum",0,0,0,0,0,64,NA,NA
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/tula/beauty-sleep-overnight-repair-treatment-I-054094/?cgpath=skincare-serums",9,"TULA","beauty sleep overnight repair treatment","$113.00","4.5","(14 reviews)",NA,NA,NA,"Beauty Sleep Overnight Repair Treatment",0,0,0,0,0,113,NA,NA
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/nuface/nuface-protect-tighten-super-antioxidant-booster-serum-I-054941/?cgpath=skincare-serums",9,"NuFACE","nuface protect + tighten super antioxidant booster serum","$108.00","5.0","(1 reviews)",NA,NA,NA,"NuFACE Protect + Tighten Super Antioxidant Booster Serum",0,0,0,0,0,108,NA,NA
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/korres/black-pine-4d-sculpt-and-lift-serum-I-054110/?cgpath=skincare-serums",9,"Korres","black pine 4d sculpt and lift serum","$108.00","4.8","(6 reviews)",NA,NA,NA,"BLACK PINE 4D Sculpt and Lift Serum",0,0,0,0,0,108,NA,NA
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/dr-barbara-sturm/clarifying-serum-I-053483/?cgpath=skincare-serums",9,"Dr. Barbara Sturm","clarifying serum","$362.00","4.5","(26 reviews)",NA,NA,NA,"Clarifying Serum",0,0,0,0,0,362,NA,NA
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/amorepacific/time-response-skin-reserve-serum-I-052666/?cgpath=skincare-serums",9,"AMOREPACIFIC","time response skin reserve serum","$782.00","5.0","(4 reviews)",NA,NA,NA,"TIME RESPONSE Skin Reserve Serum",0,0,0,0,0,782,NA,NA
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/elizabeth-arden/advanced-light-ceramide-capsules-V-057851/?cgpath=skincare-serums",9,"Elizabeth Arden","advanced light ceramide capsules","$85.00 - $155.00","4.8","(604 reviews)","60 pieces ","30 pieces ",NA,"Advanced Light Ceramide Capsules",0,0,0,0,0,155,NA,NA
